IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,COUNT_N
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,064,Bhutan,YEAR,2010,69529
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,064,Bhutan,YEAR,2013,108115
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,064,Bhutan,YEAR,2012,69535
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,064,Bhutan,YEAR,2011,69283
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,064,Bhutan,YEAR,2017,234506
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,064,Bhutan,YEAR,2020,229837
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,064,Bhutan,YEAR,2023,173578
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,064,Bhutan,YEAR,2016,241761
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,064,Bhutan,YEAR,2019,229846
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,064,Bhutan,YEAR,2022,173578
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,064,Bhutan,YEAR,2015,227111
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,064,Bhutan,YEAR,2018,222639
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,064,Bhutan,YEAR,2021,181040
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,064,Bhutan,YEAR,2014,107846
