IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,Degree of urbanization,PERCENT_POP_N
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2000,Rural,33.47806
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2002,Rural,34.86744
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2011,Rural,46.69507
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2009,Rural,44.42576
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2007,Rural,41.81433
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2003,Rural,36.25682
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2005,Rural,39.03557
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2014,Rural,50.08368
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2001,Rural,33.47806
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2012,Rural,47.82666
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2008,Rural,43.2037
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2010,Rural,45.56144
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2006,Rural,40.42495
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2004,Rural,37.6462
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2013,Rural,48.95619
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2018,Rural,54.57317
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2020,Rural,56.80562
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2016,Rural,52.33252
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2021,Rural,57.91878
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2019,Rural,55.69042
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2015,Rural,51.20913
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2017,Rural,53.45387
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2022,Rural,57.91878
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2000,Total,37.48026
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2002,Total,38.80659
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2011,Total,46.62716
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2009,Total,45.64196
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2007,Total,44.08688
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2003,Total,39.93751
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2005,Total,42.10563
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2014,Total,47.86442
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2001,Total,37.64748
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2012,Total,47.07138
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2008,Total,45.04545
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2010,Total,46.15061
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2006,Total,43.10679
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2004,Total,41.03913
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2013,Total,47.48364
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2020,Total,50.07395
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2018,Total,49.08346
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2016,Total,48.53354
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2021,Total,50.62325
12EE54A,Population using safely managed sanitation services,COUNTRY,064,Bhutan,YEAR,2019,Total,49.51058
