IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,Degree of urbanization,PERCENT_POP_N
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2000,Rural,16.02226
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2002,Rural,16.52994
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2004,Rural,17.03763
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2006,Rural,17.54531
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2001,Rural,16.2761
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2003,Rural,16.78378
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2005,Rural,17.29147
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2008,Rural,18.053
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2010,Rural,18.56068
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2012,Rural,30.31692
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2014,Rural,42.67213
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2016,Rural,55.47259
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2018,Rural,67.70748
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2020,Rural,79.59603
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2022,Rural,84.5769
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2007,Rural,17.79915
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2009,Rural,18.30684
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2011,Rural,24.36393
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2013,Rural,36.41965
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2015,Rural,49.07435
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2017,Rural,61.76321
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2019,Rural,73.65176
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2021,Rural,84.5769
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2000,Total,22.29281
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2002,Total,23.20096
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2004,Total,24.11557
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2006,Total,24.91853
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2001,Total,22.74601
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2003,Total,23.65747
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2005,Total,24.56424
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2008,Total,25.62333
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2010,Total,26.32107
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2012,Total,34.166
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2014,Total,42.7611
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2016,Total,52.08909
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2018,Total,60.82678
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2020,Total,69.13716
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2022,Total,73.34199
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2007,Total,25.27158
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2009,Total,25.973020000000002
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2011,Total,30.24204
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2013,Total,38.0904
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2015,Total,47.45907
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2017,Total,56.59075
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2019,Total,65.00831
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2021,Total,72.66557
1548EA3,Population using safely managed drinking-water services,COUNTRY,064,Bhutan,YEAR,2000,Urban,40.69198
